DepMap_ID	Subtype	lineage_subtype	lineage_sub_subtype	model_id	gene_symbol
ACH-000001	Adenocarcinoma, high grade serous	ovary_adenocarcinoma	high_grade_serous	SIDM00105	TP53
ACH-000001	Adenocarcinoma, high grade serous	ovary_adenocarcinoma	high_grade_serous	SIDM00105	ZNF721
ACH-000001	Adenocarcinoma, high grade serous	ovary_adenocarcinoma	high_grade_serous	SIDM00105	PIK3R1
ACH-000002	Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)	AML	M3	SIDM00829	NRAS
ACH-000002	Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)	AML	M3	SIDM00829	CDKN2A
ACH-000002	Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)	AML	M3	SIDM00829	TNC
ACH-000003	Adenocarcinoma	colorectal_adenocarcinoma		SIDM00891	NA
ACH-000004	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	AML	M6	SIDM00594	MCM3AP
ACH-000004	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	AML	M6	SIDM00594	TP53
ACH-000004	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	AML	M6	SIDM00594	JAK2
ACH-000005	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	AML	M6	SIDM00593	NA
ACH-000006	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01023	ASXL1
ACH-000006	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01023	MUTYH
ACH-000006	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01023	PTPN6
ACH-000006	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01023	POLE
ACH-000006	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01023	FLT3
ACH-000006	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01023	TP53
ACH-000007	Adenocarcinoma	colorectal_adenocarcinoma		SIDM00677	KRAS
ACH-000007	Adenocarcinoma	colorectal_adenocarcinoma		SIDM00677	SMARCA4
ACH-000007	Adenocarcinoma	colorectal_adenocarcinoma		SIDM00677	RASA2
ACH-000007	Adenocarcinoma	colorectal_adenocarcinoma		SIDM00677	ACVR2A
ACH-000008	Melanoma	melanoma		SIDM00801	BRAF
ACH-000009	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01233	MGA
ACH-000009	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01233	TP53
ACH-000009	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01233	SMAD4
ACH-000009	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01233	APC
ACH-000009	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01233	HLA-A
ACH-000010	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM01670	NA
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	PABPC1
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	PABPC1
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	SETD2
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	KLF6
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	SDHB
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	SMARCB1
