"Symbol"	"Mutations"	"Samples"	"Samples (%)"	"Cohorts"
"TP53"	"173"	"142"	"24.87"	"4"
"PTEN"	"135"	"134"	"23.47"	"4"
"EGFR"	"165"	"128"	"22.42"	"4"
"IDH1"	"64"	"64"	"11.21"	"4"
"NF1"	"54"	"45"	"7.88"	"3"
"PIK3CA"	"44"	"43"	"7.53"	"3"
"ATRX"	"44"	"38"	"6.65"	"3"
"PIK3R1"	"25"	"35"	"6.13"	"2"
"RB1"	"33"	"31"	"5.43"	"3"
"LRP1B"	"24"	"21"	"3.68"	"3"
"FAT4"	"19"	"16"	"2.8"	"1"
"LZTR1"	"15"	"14"	"2.45"	"1"
"STAG2"	"16"	"13"	"2.28"	"1"
"DCAF12L2"	"13"	"11"	"1.93"	"1"
"PTPN11"	"13"	"11"	"1.93"	"1"
"BCOR"	"11"	"10"	"1.75"	"1"
"BRAF"	"10"	"10"	"1.75"	"2"
"PIK3CB"	"12"	"8"	"1.4"	"2"
"MAP3K1"	"11"	"8"	"1.4"	"1"
"CACNA1D"	"10"	"7"	"1.23"	"1"
"PDGFRA"	"29"	"6"	"1.05"	"2"
"TET1"	"11"	"6"	"1.05"	"1"
"AXIN1"	"5"	"5"	"0.88"	"1"
"FGFR4"	"5"	"5"	"0.88"	"2"
"BCL11B"	"7"	"4"	"0.7"	"1"
"NRAS"	"5"	"4"	"0.7"	"1"
"KMT2D"	"13"	"3"	"0.53"	"1"
"ARID1A"	"8"	"3"	"0.53"	"1"
"CUX1"	"7"	"3"	"0.53"	"1"
"COL1A1"	"9"	"2"	"0.35"	"1"
"SMO"	"3"	"2"	"0.35"	"1"
"MYCN"	"5"	"2"	"0.35"	"1"
"FANCC"	"4"	"2"	"0.35"	"1"
"MED12"	"15"	"2"	"0.35"	"1"
"CDKN2A"	"3"	"2"	"0.35"	"1"
