"Symbol"	"Mutations"	"Samples"	"Samples (%)"	"Cohorts"
"TP53"	"226"	"220"	"57.29"	"1"
"LRP1B"	"165"	"118"	"30.73"	"1"
"EGFR"	"102"	"96"	"25"	"1"
"KRAS"	"62"	"65"	"16.93"	"1"
"FAT4"	"70"	"56"	"14.58"	"1"
"KEAP1"	"55"	"50"	"13.02"	"1"
"PTPRD"	"42"	"39"	"10.16"	"1"
"ARID1A"	"42"	"37"	"9.64"	"1"
"STK11"	"44"	"35"	"9.11"	"1"
"KMT2D"	"46"	"32"	"8.33"	"1"
"CDKN2A"	"28"	"32"	"8.33"	"1"
"RB1"	"32"	"29"	"7.55"	"1"
"SMARCA4"	"32"	"29"	"7.55"	"1"
"ALK"	"29"	"26"	"6.77"	"1"
"ERBB2"	"16"	"25"	"6.51"	"1"
"PIK3CA"	"26"	"24"	"6.25"	"1"
"ATM"	"30"	"23"	"5.99"	"1"
"RBM10"	"23"	"23"	"5.99"	"1"
"APC"	"27"	"22"	"5.73"	"1"
"BRAF"	"23"	"22"	"5.73"	"1"
"NF1"	"30"	"20"	"5.21"	"1"
"ARID2"	"20"	"18"	"4.69"	"1"
"CUX1"	"16"	"16"	"4.17"	"1"
"NOTCH1"	"14"	"15"	"3.91"	"1"
"SETD2"	"18"	"15"	"3.91"	"1"
"PTPRK"	"13"	"13"	"3.39"	"1"
"CTNNB1"	"12"	"12"	"3.13"	"1"
"PTEN"	"12"	"11"	"2.86"	"1"
"CMTR2"	"10"	"9"	"2.34"	"1"
"CUL3"	"14"	"8"	"2.08"	"1"
"PRF1"	"8"	"8"	"2.08"	"1"
"ARHGEF10"	"8"	"7"	"1.82"	"1"
"MAP2K1"	"5"	"6"	"1.56"	"1"
"FH"	"6"	"6"	"1.56"	"1"
"U2AF1"	"5"	"5"	"1.3"	"1"
"IDH1"	"7"	"5"	"1.3"	"1"
"B2M"	"3"	"4"	"1.04"	"1"
"KLF4"	"3"	"3"	"0.78"	"1"
"BAP1"	"5"	"3"	"0.78"	"1"
"CTCF"	"3"	"3"	"0.78"	"1"
