Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
DAXX	death-domain associated protein	1616	6:33318558-33323014	1	Yes	21.32	yes		"pancreatic neuroendocrine tumour, paediatric glioblastoma"			E	Rec	"oncogene, TSG"	"Mis, F, N"				"CCDS4776.1,DAP6,ENSG00000204209.12,NM_001350.4,NP_001341,NP_001135441,NP_001135442.1,Q9UER7"
ERBB2	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"	2064	17:39700080-39728662	1	Yes	12	yes		"breast, ovarian, other tumour types, NSCLC, gastric"			E	Dom	"oncogene, fusion"	"A, Mis, O"				"CCDS32642.1,CD340,ENSG00000141736.13,HER-2,HER2,NEU,NGL,NM_004448.3,NP_004439,P04626"
GOPC	golgi associated PDZ and coiled-coil motif containing	57120	6:117560269-117602364	1		22.1	yes		"glioblastoma, cholangiocarcinoma, borderline ovarian"			"E, O"	Dom	fusion	T	ROS1			"CAL,CCDS5117.1,ENSG00000047932.13,FIG,GOPC1,NM_020399.3,NP_065132,PIST,Q9HD26,dJ94G16.2"
HIF1A	hypoxia inducible factor 1 alpha subunit	3091	14:61697622-61748259	1	Yes	23.2	yes		"endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic"			"E, O"	Dom	oncogene	"Mis, F, N"				"CCDS58324.1,ENSG00000100644.16,HIF-1alpha,HIF1,MOP1,NM_001243084.1,NP_001230013,PASD8,Q16665,bHLHe78"
IDH1	"isocitrate dehydrogenase 1 (NADP+), soluble"	3417	2:208236265-208254322	1	Yes	34	yes		glioblastoma			O	Dom	oncogene	Mis				"CCDS2381.1,ENSG00000138413.13,NM_001282387.1,NP_001269316,O75874"
IDH2	"isocitrate dehydrogenase 2 (NADP+), mitochondrial"	3418	15:90083045-90102504	1	Yes	26.1	yes		glioblastoma			O	Dom	oncogene	Mis				"CCDS10359.1,ENSG00000182054.9,NM_002168.3,NP_002159,P48735"
LZTR1	leucine-zipper-like transcription regulator 1	8216	22:20982013-20999038	1	Yes	11.21	yes	yes	glioblastoma	"glioblastoma, schwannoma"	Schwannomatosis-2	E	Dom	TSG	"Mis, F, N"		yes	Noonan syndrome 10	"BTBD29,CCDS33606.1,ENSG00000099949.19,LZTR-1,Q8N653"
MDM4	Mdm4 p53 binding protein homolog	4194	1:204516383-204558120	1		32.1	yes		"glioblastoma, bladder, retinoblastoma"			M	Dom	oncogene	A				"CCDS1447.1,ENSG00000198625.12,HDMX,MDMX,NM_002393.4,NP_002384,O15151"
PDGFRA	"platelet-derived growth factor, alpha-receptor"	5156	4:54229097-54298247	1	Yes	12	yes	yes	"GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma"	GIST	familial gastrointestinal stromal tumour	"L, M, O"	Dom	"oncogene, fusion"	"Mis, O, T"	FIP1L1			"CCDS3495.1,CD140a,ENSG00000134853.11,GAS9,NM_006206.4,NP_006197,NP_001334757.1,NP_001334759.1,NP_001334758.1,P16234,PDGFR2"
PIK3CA	"phosphoinositide-3-kinase, catalytic, alpha polypeptide"	5290	3:179148523-179240093	1	Yes	26.32	yes		"colorectal, gastric, glioblastoma, breast"			"E, O"	Dom	oncogene	Mis				"CCDS43171.1,ENSG00000121879.4,NM_006218.3,NP_006209,P42336,PI3K"
PIK3R1	"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)"	5295	5:68215720-68301821	1	Yes	13.1	yes		"glioblastoma, ovarian, colorectal"			"E, O"	Rec	TSG	"Mis, F, O"				"CCDS3993.1,ENSG00000145675.14,GRB1,NM_181523.2,NP_852664,P27986,p85,p85-ALPHA"
PTPRD	"protein tyrosine phosphatase, receptor type D"	5789	9:8314246-10033790	2		24.1	yes		"lung cancer, kidney cancer, HNSCC, glioblastoma"			"E, O"		TSG	"D, N, Mis"				"CCDS43786.1,ENSG00000153707.16,HPTP,NM_002839.3,NP_002830,P23468,PTPD"
ROS1	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)	6098	6:117288300-117425855	1	Yes	22.1	yes		"glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian"			"O, E"	Dom	"oncogene, fusion"	T	"GOPC, SDC4, SLC34A2, EZR, LRIG3, HLA-A, MYO5A, PPFIBP1, ERC1, CLIP1, TPM3, ZCCHHC8, KIAA1598, PWWP2A"			"CCDS5116.1,ENSG00000047936.10,MCF3,NM_002944.2,NP_002935,P08922,ROS,c-ros-1"
SALL4	spalt like transcription factor 4	57167	20:51782331-51802520	1	Yes	13.2	yes		"colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma"			E		oncogene	"Mis, F"			Duane-radial ray syndrome	"CCDS13438.1,ENSG00000101115.12,NM_020436.4,NP_065169,Q9UJQ4,ZNF797,dJ1112F19.1"
STAG2	stromal antigen 2	10735	X:123960519-124101498	1	Yes	25	yes		"bladder carcinoma, glioblastoma, melanoma, Ewing's sarcoma, myeloid neoplasms"			"E, L, M, O"	Rec	TSG	"Mis, N, F, S"				"CCDS43990.1,ENSG00000101972.18,NM_001042749.2,NP_001036214,Q8N3U4,SA-2,SA2,SCC3B"
TERT	telomerase reverse transcriptase	7015	5:1253167-1295047	1	Yes	15.33	yes	yes	"melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types"	melanoma		"E, O"	Dom	"oncogene, TSG"	Promoter Mis		yes	"Dyskeratosis congenita, Telomere-related pulmonary fibrosis and/or bone marrow failure  1"	"CCDS3861.2,ENSG00000164362.18,EST2,NM_198253.2,NP_937983,O14746,TCS1,TP2,TRT,hEST2"
