Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
ATM	ataxia telangiectasia mutated	472	11:108222832-108369099	1	Yes	22.3	yes	yes	T-PLL	"leukaemia, lymphoma, medulloblastoma, glioma"	ataxia-telangiectasia	"L, O"	Rec	TSG	"D, Mis, N, F, S"				"ATA,ATC,ATD,ATDC,CCDS31669.1,ENSG00000149311.18,NM_000051.3,NP_000042,Q13315,TEL1,TELO1"
AXIN1	axin 1	8312	16:287440-352659	1	Yes	13.3	yes		"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma"			"E, O"	Rec	TSG	"D, Mis, N, F, S"				"CCDS10405.1,ENSG00000103126.14,NM_003502.3,NP_003493,O15169,PPP1R49"
DDX3X	"DEAD-box helicase 3, X-linked"	1654	X:41333284-41351668	1	Yes	11.4	yes		"CLL, medulloblastoma"			"L, O"		TSG	"Mis, N, F"		yes	"Mental retardation, X-linked 102"	"CCDS43931.1,DBX,DDX14,DDX3,ENSG00000215301.10,HLP2,NM_001356.4,NP_001347"
KDM6A	"lysine (K)-specific demethylase 6A, UTX"	7403	X:44873511-45112602	1	Yes	11.3	yes		"renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types"			"E, L"	Rec	"oncogene, TSG"	"D, N, F, S"		yes	Kabuki syndrome	"CCDS14265.1,ENSG00000147050.14,NM_021140.3,NP_066963,O15550,UTX"
KMT2C	lysine (K)-specific methyltransferase 2C	58508	7:152134925-152436005	1	Yes	36.1	yes		medulloblastoma			O	Rec	TSG	N				"CCDS5931.1,ENSG00000055609.17,HALR,KIAA1506,MLL3,NM_170606.2,NP_733751,Q8NEZ4"
KMT2D	lysine (K)-specific methyltransferase 2D	8085	12:49018975-49055324	1	Yes	13.12	yes		"medulloblastoma, renal"			"O, E"	Rec	"oncogene, TSG"	"N, F, Mis"				"ALR,CAGL114,CCDS44873.1,ENSG00000167548.14,MLL2,MLL4,NM_003482.3,NP_003473,O14686,TNRC21"
NBN	nibrin	4683	8:89933336-89984716	1		21.3		yes		"NHL, glioma, medulloblastoma, rhabdomyosarcoma"	Nijmegen breakage syndrome	"L, E, M, O"	Rec	TSG	"Mis, N, F"				"AT-V1,AT-V2,ATV,CCDS6249.1,ENSG00000104320.13,NBS,NBS1,NM_002485.4,NP_002476,O60934"
PALB2	partner and localizer of BRCA2	79728	16:23603170-23641310	1		12.2		yes		"Wilms tumour, medulloblastoma, AML ,breast"	"Fanconi anaemia N, breast cancer susceptibility"	"L, O, E"	Rec	TSG	"F, N, Mis"				"CCDS32406.1,ENSG00000083093.9,FANCN,FLJ21816,NM_024675.3,NP_078951,Q86YC2"
PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	5395	7:5973239-6009125	1	Yes	22.1		yes		"colorectal, endometrial, ovarian, medulloblastoma, glioma"	"hereditary non-polyposis colorectal cancer, Turcot syndrome"	E	Rec	TSG	"Mis, N, F"				"CCDS5343.1,ENSG00000122512.15,HNPCC4,H_DJ0042M02.9,MLH4,NM_001322014.1,NP_000526,NP_001308943.1,NP_001308935.1,P54278,PMSL2"
PTCH1	Homolog of Drosophila Patched gene	5727	9:95442980-95508661	1	Yes	22.32	yes	yes	"skin basal cell, medulloblastoma"	"skin basal cell, medulloblastoma"	nevoid basal cell carcinoma syndrome	"E, M"	Rec	TSG	"Mis, N, F, S"				"BCNS,CCDS6714.1,ENSG00000185920.15,NBCCS,NM_000264.3,NP_000255,PTCH,Q13635"
SUFU	suppressor of fused homolog (Drosophila)	51684	10:102503987-102633535	1		24.32	yes	yes	medulloblastoma	medulloblastoma	medulloblastoma predisposition	O	Rec	TSG	"D, F, S"				"CCDS7537.1,ENSG00000107882.11,NM_016169.3,NP_057253,PRO1280,Q9UMX1,SUFUH,SUFUXL"
TERT	telomerase reverse transcriptase	7015	5:1253167-1295047	1	Yes	15.33	yes	yes	"melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types"	melanoma		"E, O"	Dom	"oncogene, TSG"	Promoter Mis		yes	"Dyskeratosis congenita, Telomere-related pulmonary fibrosis and/or bone marrow failure  1"	"CCDS3861.2,ENSG00000164362.18,EST2,NM_198253.2,NP_937983,O14746,TCS1,TP2,TRT,hEST2"
